#mraa   #gpio
0       GP182
4       GP135
6       GP27 
7       GP20 
8       GP28 
9       GP111
10      GP109
11      GP115
13      GP128
14      GP13 
15      GP165
19      GP19 
20      GP12 
21      GP183
23      GP110
24      GP114
25      GP129
26      GP130
31      GP44 
32      GP46 
33      GP48 
35      GP131
36      GP14 
37      GP40 
38      GP43 
39      GP77 
40      GP82 
41      GP83 
44      GP134
45      GP45 
46      GP47 
47      GP49 
48      GP15 
49      GP84 
50      GP42 
51      GP41 
52      GP78 
53      GP79 
54      GP80 
55      GP81 
